    VUYRIR,       Fe1, 3,        F1, 1.897, 0.546,0,1.6731007951322714
    VUYRIR,       Fe1, 3,        F2, 1.941, 0.485,0,1.6731007951322714
    VUYRIR,       Fe1, 3,        F3, 1.947, 0.477,0,1.6731007951322714
    VUYRIR,       Fe1, 3,        F4, 1.908, 0.530,0,1.6731007951322714
    VUYRIR,       Fe1, 3,        F5, 1.916, 0.519,0,1.6731007951322714
    VUYRIR,       Fe1, 3,        F6, 1.923, 0.509,0,1.6731007951322714
    JELNIY,       Fe1, 3,       F2B, 1.909, 0.529,0,1.6731007951322714
    JELNIY,       Fe1, 3,        F2, 1.908, 0.530,0,1.6731007951322714
    JELNIY,       Fe1, 3,       F2D, 1.909, 0.529,0,1.6731007951322714
    JELNIY,       Fe1, 3,       F1B, 1.937, 0.490,0,1.6731007951322714
    JELNIY,       Fe1, 3,       F1D, 1.937, 0.490,0,1.6731007951322714
    JELNIY,       Fe1, 3,        F1, 1.937, 0.490,0,1.6731007951322714
    ADOSIW,       Fe1, 3,        F1, 1.953, 0.469,0,1.6731007951322714
    ADOSIW,       Fe1, 3,        F2, 1.925, 0.506,0,1.6731007951322714
    ADOSIW,       Fe1, 3,        F3, 1.926, 0.505,0,1.6731007951322714
    ADOSIW,       Fe1, 3,        F4, 1.925, 0.506,0,1.6731007951322714
    ADOSIW,       Fe1, 3,        F5, 1.936, 0.491,0,1.6731007951322714
    ADOSIW,       Fe1, 3,        F6, 1.911, 0.526,0,1.6731007951322714
    NUYGET,       Fe1, 3,        F1, 1.914, 0.521,0,1.6731007951322714
    NUYGET,       Fe1, 3,        F2, 1.922, 0.510,0,1.6731007951322714
    NUYGET,       Fe1, 3,        F3, 1.923, 0.509,0,1.6731007951322714
    NUYGET,       Fe1, 3,        F4, 1.957, 0.464,0,1.6731007951322714
    NUYGET,       Fe1, 3,        F5, 1.920, 0.513,0,1.6731007951322714
    NUYGET,       Fe1, 3,        F6, 1.959, 0.462,0,1.6731007951322714
    FULHOJ,       Fe2, 3,        F1, 1.939, 0.487,0,1.6731007951322714
    FULHOJ,       Fe2, 3,       F1N, 1.939, 0.487,0,1.6731007951322714
    FULHOJ,       Fe2, 3,       F1L, 1.939, 0.487,0,1.6731007951322714
    FULHOJ,       Fe2, 3,       F1M, 1.939, 0.487,0,1.6731007951322714
    FULHOJ,       Fe2, 3,       F1B, 1.939, 0.487,0,1.6731007951322714
    FULHOJ,       Fe2, 3,       F1A, 1.939, 0.487,0,1.6731007951322714
    FULHOJ,       Fe1, 3,       F2B, 1.934, 0.494,0,1.6731007951322714
    FULHOJ,       Fe1, 3,        F2, 1.934, 0.494,0,1.6731007951322714
    FULHOJ,       Fe1, 3,       F2A, 1.934, 0.494,0,1.6731007951322714
    FULHOJ,       Fe1, 3,       F2M, 1.934, 0.494,0,1.6731007951322714
    FULHOJ,       Fe1, 3,       F2L, 1.934, 0.494,0,1.6731007951322714
    FULHOJ,       Fe1, 3,       F2N, 1.934, 0.494,0,1.6731007951322714
